,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m
DXCO3,ON,DEXCO ON,Madeira e Papel,Madeira,6.88,2023-02-10,6.39,13.05,34127500,5758970000,9436760000,2022-09-30,837059000,511,097,380,066,037,354,-144,4.3%,408,623,18.5%,135,706,34.8%,17.3%,12.9%,9.8%,12.4%,19.1%,141,095,056,15507500000,,,5906810000,,,1127720000,,,154067000,1928230000,5586610000,5606030000,3677800000,8757050000,1515190000,2161640000,384210000
EALT3,ON,ELECTRO AÇO ALTONA S/A ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,9.20,2023-02-10,7.02,10.60,1884,207000000,325586000,2022-09-30,22500000,479,101,384,043,040,-1635,-175,3.0%,466,604,17.7%,192,910,23.5%,11.1%,8.9%,10.3%,11.4%,21.1%,094,063,093,523098000,,,204685000,,,43200000,,,6944000,9549000,200341000,128135000,118586000,486544000,53933000,123208000,11684000
EALT4,PN,ELECTRO AÇO ALTONA S/A PN,Máquinas e Equipamentos,Máq. e Equip. Industriais,7.03,2023-02-10,6.12,9.25,157727,158175000,276761000,2022-09-30,22500000,366,077,293,033,030,-1250,-134,4.3%,396,513,17.7%,192,910,23.5%,11.1%,8.9%,10.3%,11.4%,21.1%,094,063,093,523098000,,,204685000,,,43200000,,,6944000,9549000,200341000,128135000,118586000,486544000,53933000,123208000,11684000
ECOR3,ON NM,ECORODOVIAS ON NM,Transporte,Exploração de Rodovias,3.87,2023-02-10,3.87,7.87,21444700,2694810000,12209100000,2022-09-30,696334000,1790,120,204,050,015,-391,-021,0.2%,637,924,13.6%,022,324,30.7%,24.3%,2.4%,7.3%,8.7%,6.7%,081,534,030,18058100000,,,2253490000,,,150558000,,,128241000,2521870000,3014940000,12036200000,9514320000,5434410000,1322010000,1672570000,392429000
ECPR3,ON,ENCORPAR ON,"Tecidos, Vestuário e Calçados",Fios e Tecidos,90.25,2022-03-04,90.25,90.25,0,171475000,170710000,2021-12-31,1900000,-987,121,-8252,-,062,17462,-129,0.0%,-8227,-8215,-,-914,7446,-,-,0.0%,-0.8%,-0.8%,-12.3%,297,-,-,276335000,,,141476000,,,-17375000,,,5861000,765000,1481000,0,-765000,0,-2078000,0,-309000
ECPR4,PN,ENCORPAR PN,"Tecidos, Vestuário e Calçados",Fios e Tecidos,90.74,2022-03-25,90.00,90.74,0,172406000,171641000,2021-12-31,1900000,-992,122,-8297,-,062,17557,-129,0.0%,-8272,-8260,-,-914,7446,-,-,0.0%,-0.8%,-0.8%,-12.3%,297,-,-,276335000,,,141476000,,,-17375000,,,5861000,765000,1481000,0,-765000,0,-2078000,0,-309000
EEEL3,ON N1,CEEE ON N1,Energia Elétrica,Energia Elétrica,421.01,2022-05-24,421.01,421.01,0,4066110000,4783020000,2022-09-30,9658000,2361,312,546,304,095,556,-218,30.0%,642,642,6.0%,1783,13475,62.5%,55.7%,11.9%,17.4%,18.9%,13.2%,291,079,031,4289460000,,,1301400000,,,172193000,,,167689000,309831000,1115540000,1026740000,716907000,1337520000,745249000,384559000,270350000
EEEL4,PN N1,CEEE PN N1,Energia Elétrica,Energia Elétrica,410.00,2022-05-27,308.50,422.12,0,3959780000,4676690000,2022-09-30,9658000,2300,304,531,296,092,541,-212,33.9%,628,628,6.0%,1783,13475,62.5%,55.7%,11.9%,17.4%,18.9%,13.2%,291,079,031,4289460000,,,1301400000,,,172193000,,,167689000,309831000,1115540000,1026740000,716907000,1337520000,745249000,384559000,270350000
EGIE3,ON,ENGIE BRASIL ON,Energia Elétrica,Energia Elétrica,38.03,2023-02-10,36.66,43.55,66322700,31029700000,45932300000,2022-09-30,815928000,1677,386,542,268,078,1606,-139,7.9%,673,802,10.3%,227,986,52.3%,49.5%,16.0%,14.4%,16.2%,23.0%,126,232,029,39685500000,,,8044930000,,,1850290000,,,733869000,3764940000,9389670000,18667500000,14902500000,11574000000,5724220000,2746630000,997925000
EKTR3,ON,ELEKTRO ELETRICIDADE E SERVIÇOS S.A. ON,Energia Elétrica,Energia Elétrica,36.96,2023-02-10,25.41,36.96,1626,7161330000,11293300000,2022-09-30,193759000,672,235,362,084,069,648,-184,19.1%,495,572,11.8%,550,1569,26.2%,23.1%,12.4%,19.1%,22.8%,35.0%,148,168,083,10348000000,,,3041000000,,,1065000000,,,155000000,978000000,3415000000,5110000000,4132000000,8570000000,1976000000,2004000000,312000000
